# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	452
#@/user_id	portable-rime
a 	啊	c=2 d=0.775609 t=452
ni dang shi 	你當時	c=1 d=0.165299 t=452
ni hao 	你好	c=3 d=0.744532 t=452
ni shi 	你是	c=1 d=0.164474 t=452
pei zhi 	配置	c=3 d=0.967125 t=452
pei zhi wen jian 	配置文件	c=1 d=0.909373 t=452
piao yang 	漂洋	c=1 d=0.280832 t=452
pin 	拼	c=3 d=0.823398 t=452
qi 	奇	c=1 d=0.831104 t=452
qi 	琪	c=7 d=4.56196 t=452
qi 	騎	c=1 d=0.843665 t=452
qie qie 	切切	c=1 d=0.818731 t=452
qing chun 	青春	c=0 d=0.0882497 t=452
qing chun zhi cheng 	青春之城	c=2 d=1.79176 t=452
qu 	去	c=2 d=1.53007 t=452
qun 	羣	c=3 d=0.903641 t=452
ran hou 	然後	c=1 d=0.239309 t=452
ren 	人	c=1 d=0.683861 t=452
ri ben 	日本	c=2 d=1.70017 t=452
ru he 	如何	c=3 d=2.69058 t=452
ru men 	入門	c=1 d=0.470011 t=452
san 	三	c=1 d=0.29523 t=452
san 	散	c=1 d=0.680451 t=452
shan chu 	刪除	c=1 d=0.574072 t=452
shi 	史	c=1 d=0.261846 t=452
shi 	是	c=5 d=1.69431 t=452
shi jian 	實踐	c=1 d=0.474734 t=452
shi pin 	視頻	c=1 d=0.362402 t=452
shi zen me 	是怎麼	c=1 d=0.169483 t=452
shou 	受	c=1 d=0.790571 t=452
shou ce 	手冊	c=1 d=0.465334 t=452
shu ji 	書籍	c=1 d=0.458406 t=452
shu qian 	書籤	c=1 d=0.579842 t=452
shu ru 	輸入	c=6 d=2.03686 t=452
shu ru fa 	輸入法	c=2 d=0.594495 t=452
shuang 	雙	c=2 d=0.408636 t=452
shuang pin 	雙拼	c=3 d=0.814669 t=452
shuo 	說	c=1 d=0.142274 t=452
si 	斯	c=4 d=3.57116 t=452
sou gou 	搜狗	c=1 d=0.826959 t=452
suo jin 	縮進	c=1 d=0.786628 t=452
ta 	他	c=0 d=0.0143704 t=452
ta nai nai 	他奶奶	c=1 d=0.144424 t=452
tai wan 	臺灣	c=1 d=1 t=452
